table_name,column_name
category,id
category,category_name
category_translations,id
category_translations,category_id
category_translations,lang_id
category_translations,field_name
category_translations,value
currency,id
currency,currency_code
currency,currency_num
currency,currency_name
currency,countries
currency_translations,id
currency_translations,currency_id
currency_translations,lang_id
currency_translations,field_name
currency_translations,value
custom_attributes_raw,id
custom_attributes_raw,custom_attributes_raw_array
details_html,id
details_html,details_html
details_html_translations,id
details_html_translations,details_html_id
details_html_translations,lang_id
details_html_translations,field_name
details_html_translations,value
lang,id
lang,lang_code
product,id
product,constructed_id_master_collection_code_counter_product_collectio
product,product_attributes_raw_collection_id
product,product_selling_price
product,product_image
product,inventory
product,weight
product,long
product,width
product,high
product_attributes_raw_collection,id
product_attributes_raw_collection,product_attributes_collection
product_collection,id
product_collection,product_collection_master_wxwerp
product_collection,product_collection_name
product_collection,product_collection_url
product_collection,product_collection_sku
product_collection,master_collection_code
product_collection,product_collection_image
product_collection,inventory
product_collection,weight
product_collection,long
product_collection,width
product_collection,high
product_collection_category,id
product_collection_category,product_collection_id
product_collection_category,category_id
product_collection_custom_attributes_raw,id
product_collection_custom_attributes_raw,product_collection_id
product_collection_custom_attributes_raw,custom_attributes_raw_id
product_collection_details_html,id
product_collection_details_html,product_collection_id
product_collection_details_html,details_html_id
product_collection_img_array,id
product_collection_img_array,product_collection_img_array
product_collection_product_collection_img_array,id
product_collection_product_collection_img_array,product_collection_id
product_collection_product_collection_img_array,product_collection_img_array
product_collection_translations,id
product_collection_translations,product_id
product_collection_translations,lang_id
product_collection_translations,field_name
product_collection_translations,value
source,id
source,source
source_translations,id
source_translations,source_id
source_translations,lang_id
source_translations,field_name
source_translations,value
